genome_id	ncbi_biosample_accession_id	ncbi_lat_lon	lat_lon	date	ncbi_bioproject	domain	phylum	class	order	family	genus	species	collection_date	geographic_location_harmonized	host_harmonized	isolation_source_harmonized	project_name	env_broad_med_local	misc_attributes	google_earth_embeddings
GB_GCA_009844005.1	SAMN12598627	18.49 S 147.38 E	18.49 S 147.38 E	2016-10	PRJNA555144	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Bin61	f__Bin61	g__Bin61	s__Bin61 sp009840635	2016-10	Australia: Great Barrier Reef	Ircinia ramosa				[derived-from] This BioSample is a metagenomic assembly obtained from the sponge metagenome BioSample: SAMN12347688 --- [environmental-sample] 1 --- [isolate] SB0675_bin_12 --- [metagenome-source] sponge metagenome --- [metagenomic] 1 --- [sample_type] metagenomic assembly	[-0.05911572472126105, -0.07972318339100345, -0.19986159169550174, -0.186082276047674, -0.11909265667051133, -0.01574778931180315, 0.09356401384083046, 0.12456747404844293, 0.03543252595155709, 0.11909265667051133, 0.13016532103037293, -0.10340638216070744, -0.07111111111111111, -0.08421376393694734, 0.06698961937716265, -0.010396001537870049, -0.03543252595155709, -0.09842368319876971, -0.012056901191849288, 0.07972318339100345, 0.12456747404844293, 0.28444444444444444, -0.14769703960015382, 0.17279507881584008, -0.17937716262975778, -0.2761399461745483, -0.0629911572472126, -0.16633602460592078, 0.13016532103037293, -0.13588619761630144, -0.09842368319876971, 0.3278123798539023, 0.0271280276816609, 0.019930795847750864, -0.06698961937716265, 0.05536332179930796, 0.10340638216070744, 0.019930795847750864, 0.029773164167627833, 0.019930795847750864, -0.06698961937716265, -0.22145328719723184, 0.17937716262975778, 0.08421376393694734, -0.03543252595155709, -0.008858131487889272, -0.16000000000000003, 0.029773164167627833, -0.13588619761630144, 0.04822760476739715, 0.14769703960015382, 0.10340638216070744, -0.2364628988850442, 0.012056901191849288, -0.022206843521722412, -0.08882737408688965, 0.01384083044982699, 0.03844675124951941, -0.010396001537870049, -0.004982698961937716, 0.13016532103037293, -0.22145328719723184, 0.003936947327950788, 0.17937716262975778]
GB_GCA_009701135.1	SAMN12745162	48.846361 N 14.487639 E	48.846361 N 14.487639 E	2016-08-15	PRJNA449258	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__UBA8139	g__F1-20-MAGs160	s__F1-20-MAGs160 sp009700115	2016-08-15	Czech Republic: Rimov Reservoir		freshwater		aquatic | freshwater | water	[depth] 30 --- [derived-from] This BioSample is a metagenomic assembly obtained from the freshwater metagenome BioSample: SAMN08331097 --- [environmental-sample] True --- [isolate] UFOp-RH-15aug16-413 --- [metagenome-source] freshwater metagenome --- [metagenomic] 1 --- [sample-type] metagenomic assembly	[-0.09842368319876971, -0.2761399461745483, -0.16000000000000003, -0.08882737408688965, -0.002214532871972318, -0.11374086889657825, -0.08421376393694734, 0.17937716262975778, 0.14769703960015382, -0.002214532871972318, 0.19986159169550174, -0.11374086889657825, 0.07972318339100345, -0.006151480199923107, 0.024605920799692427, -0.010396001537870049, 0.08882737408688965, -0.05536332179930796, -0.029773164167627833, -0.07111111111111111, -0.010396001537870049, -0.11374086889657825, -0.07535563244905807, 0.2069357939254133, -0.14769703960015382, -0.07111111111111111, 0.05536332179930796, -0.186082276047674, 0.09356401384083046, -0.000984236831987697, -0.17279507881584008, 0.04822760476739715, 0.09356401384083046, -0.000984236831987697, -0.14769703960015382, 0.010396001537870049, -0.1085121107266436, 0.09356401384083046, -0.017777777777777778, 0.2069357939254133, -0.15378700499807765, -0.13588619761630144, 0.12456747404844293, -0.010396001537870049, -0.2069357939254133, 0.2069357939254133, -0.16000000000000003, 0.15378700499807765, -0.10340638216070744, -0.2761399461745483, -0.1085121107266436, 0.04822760476739715, 0.0271280276816609, 0.1085121107266436, 0.11909265667051133, 0.041584006151480196, -0.044844290657439445, 0.12456747404844293, -0.03844675124951941, -0.06698961937716265, -0.007443291041906958, -0.14173010380622836, 0.19986159169550174, 0.2599000384467512]
GB_GCA_015521725.1	SAMN12837274	34.86111866 S 179.0576651 E	34.86111866 S 179.0576651 E	2018-03	PRJNA546572	d__Archaea	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__WAQK01	g__WAQK01	s__WAQK01 sp015520265	2018-03	Pacific Ocean		deep-sea hydrothermal deposit		marine hydrothermal vent biome [ENVO:01000030] | marine hydrothermal vent [ENVO:01000122] | deep-sea hydrothermal deposit	[depth] 1599.49 --- [derived_from] This BioSample is a metagenomic assembly obtained from the hydrothermal vent metagenome BioSample: SAMN12239309 --- [environmental-sample] 1 --- [isolate] S141_81 --- [metagenome-source] hydrothermal vent metagenome --- [metagenomic] 1 --- [sample_type] metagenomic assembly	
GB_GCA_014865575.1	SAMN12905124	32.93 S 151.78 E	32.93 S 151.78 E	2015-04/2016-09	PRJNA562766	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor intestinalis	2015-04/2016-09	Australia: Newcastle	Homo sapiens	feces			[GTDB_taxonomy] d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066365 --- [checkm_completeness] 86.23 --- [checkm_contamination] 4.35 --- [contigs] 385 --- [derived_from] This BioSample is a metagenomic assembly obtained from the feces metagenome BioSample: SAMN12649870 --- [environmental-sample] 1 --- [isolate] COPD177 --- [length] 2637639 --- [metagenome-source] human gut metagenome --- [metagenomic] 1 --- [sample_type] metagenomic assembly	[0.2069357939254133, -0.022206843521722412, 0.09356401384083046, -0.1929104190695886, -0.1085121107266436, -0.08882737408688965, 0.28444444444444444, 0.022206843521722412, -0.13016532103037293, 0.041584006151480196, -0.07972318339100345, -0.09356401384083046, -0.11909265667051133, -0.03254133025759323, -0.0629911572472126, -0.186082276047674, 0.17279507881584008, -0.029773164167627833, 0.07111111111111111, 0.15378700499807765, 0.14769703960015382, 0.07111111111111111, -0.2679584775086506, -0.0629911572472126, 0.13588619761630144, 0.15378700499807765, 0.07972318339100345, -0.019930795847750864, 0.0271280276816609, -0.019930795847750864, 0.05536332179930796, -0.017777777777777778, -0.13016532103037293, -0.006151480199923107, 0.16000000000000003, -0.14769703960015382, -0.2288965782391388, -0.05536332179930796, 0.0271280276816609, -0.17937716262975778, -0.15378700499807765, 0.01384083044982699, -0.11374086889657825, 0.008858131487889272, 0.1929104190695886, 0.017777777777777778, -0.08421376393694734, -0.012056901191849288, -0.05536332179930796, 0.0629911572472126, -0.017777777777777778, 0.05911572472126105, -0.34602076124567477, -0.01384083044982699, 0.12456747404844293, -0.22145328719723184, 0.11909265667051133, -0.00024605920799692423, 0.08882737408688965, 0.06698961937716265, 0.11909265667051133, -0.03254133025759323, -0.186082276047674, 0.07111111111111111]
RS_GCF_016634675.1	SAMN13301690	33.8688 S 151.2093 E	33.8688 S 151.2093 E	2013-04	PRJNA224116	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella pneumoniae	2013-04	Australia	Homo sapiens	blood			[Acquisition] Community --- [Collected by] Concord Repatriation General Hospital --- [Sequencing facility] University of Technology Sydney - Sequencing Facility for the Australian Centre for Genomic Epidemiological Microbiology --- [host_disease_harmonized] Biliary Tract Infection	[0.186082276047674, -0.08421376393694734, 0.010396001537870049, -0.186082276047674, -0.09356401384083046, -0.24415224913494812, 0.2364628988850442, 0.002214532871972318, -0.11374086889657825, 0.08882737408688965, -0.05173394848135333, 0.05536332179930796, 0.006151480199923107, 0.05536332179930796, -0.17937716262975778, -0.08882737408688965, 0.1929104190695886, -0.03844675124951941, 0.041584006151480196, 0.2069357939254133, 0.09842368319876971, 0.05536332179930796, -0.2599000384467512, -0.010396001537870049, 0.13588619761630144, 0.09842368319876971, 0.022206843521722412, 0.006151480199923107, 0.11909265667051133, -0.05911572472126105, 0.022206843521722412, -0.05173394848135333, -0.2364628988850442, -0.10340638216070744, 0.11374086889657825, -0.186082276047674, -0.3278123798539023, -0.08421376393694734, 0.12456747404844293, -0.14173010380622836, -0.186082276047674, -0.003936947327950788, 0.022206843521722412, -0.04822760476739715, 0.09356401384083046, 0.13016532103037293, -0.16000000000000003, 0.09842368319876971, -0.12456747404844293, -0.0005536332179930795, -0.05911572472126105, 0.05536332179930796, -0.21413302575932336, 0.008858131487889272, 0.07535563244905807, -0.17279507881584008, 0.1085121107266436, -0.04822760476739715, 0.07111111111111111, -0.003936947327950788, 0.1085121107266436, -0.019930795847750864, -0.08882737408688965, 0.08421376393694734]
RS_GCF_009906985.1	SAMN13855193	32.1656 N 82.9001 W	32.1656 N 82.9001 W	2010-06	PRJNA224116	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_D	s__Campylobacter_D jejuni	2010-06	USA:GA	chicken		PulseNet		[collected_by] ARS, USDA --- [sequenced_by] GA --- [source_type] food	[-0.0629911572472126, -0.2364628988850442, -0.17279507881584008, 0.21413302575932336, -0.1085121107266436, -0.2069357939254133, -0.14173010380622836, -0.044844290657439445, 0.06698961937716265, -0.14173010380622836, -0.186082276047674, 0.05173394848135333, -0.14173010380622836, 0.05173394848135333, -0.1085121107266436, -0.07972318339100345, -0.2069357939254133, -0.008858131487889272, 0.012056901191849288, -0.11374086889657825, -0.07535563244905807, -0.09356401384083046, 0.1085121107266436, 0.012056901191849288, 0.022206843521722412, 0.16633602460592078, -0.03254133025759323, 0.01574778931180315, 0.029773164167627833, 0.186082276047674, 0.15378700499807765, -0.0629911572472126, 0.11374086889657825, -0.12456747404844293, -0.2364628988850442, 0.01574778931180315, -0.08421376393694734, 0.004982698961937716, 0.19986159169550174, 0.03254133025759323, 0.04822760476739715, 0.019930795847750864, 0.12456747404844293, 0.03254133025759323, 0.13016532103037293, -0.008858131487889272, -0.09842368319876971, -0.07111111111111111, 0.186082276047674, -0.1085121107266436, -0.14173010380622836, 0.07972318339100345, -0.07535563244905807, 0.0629911572472126, 0.2288965782391388, 0.04822760476739715, -0.06698961937716265, 0.13588619761630144, 0.07111111111111111, -0.28444444444444444, 0.14769703960015382, 0.010396001537870049, 0.16000000000000003, 0.16633602460592078]
RS_GCF_010178725.1	SAMN13943341	12.9165 N 79.1325 E	12.9165 N 79.1325 E	2019	PRJNA224116	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter baumannii	2019	India: Vellore	Homo sapiens	blood			[collected_by] Christian Medical College --- [host_disease_harmonized] Bacteremia	[0.08421376393694734, -0.28444444444444444, 0.10340638216070744, -0.05173394848135333, -0.09842368319876971, -0.13588619761630144, 0.003936947327950788, -0.010396001537870049, -0.2364628988850442, 0.01574778931180315, 0.13588619761630144, -0.022206843521722412, -0.34602076124567477, 0.09842368319876971, -0.05536332179930796, -0.04822760476739715, 0.12456747404844293, -0.002214532871972318, -0.11909265667051133, -0.05911572472126105, -0.07535563244905807, 0.24415224913494812, 0.07535563244905807, 0.0015378700499807767, -0.09842368319876971, 0.10340638216070744, 0.07535563244905807, 0.0015378700499807767, 0.05911572472126105, 0.2069357939254133, 0.003936947327950788, -0.041584006151480196, -0.07535563244905807, -0.14173010380622836, 0.14173010380622836, -0.03543252595155709, -0.3188927335640138, -0.03543252595155709, 0.16633602460592078, 0.024605920799692427, -0.03844675124951941, -0.06698961937716265, -0.1929104190695886, 0.24415224913494812, -0.07535563244905807, 0.003936947327950788, -0.017777777777777778, 0.15378700499807765, -0.14769703960015382, -0.04822760476739715, 0.14769703960015382, 0.14769703960015382, -0.11909265667051133, -0.13588619761630144, 0.07972318339100345, -0.03543252595155709, 0.03254133025759323, -0.017777777777777778, -0.14173010380622836, 0.05173394848135333, 0.186082276047674, 0.03543252595155709, -0.004982698961937716, -0.07111111111111111]
RS_GCF_015831205.1	SAMN14209819	48.21 N 16.37 E	48.21 N 16.37 E	2019-01-03	PRJNA224116	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium diphtheriae	2019-01-03	Austria	Homo sapiens	throat			[biovar] gravis --- [collected_by] AGES --- [genotype] ST32 --- [host_disease_harmonized] Diphtheria suspicion --- [subsrc-note] non tox	[0.0629911572472126, -0.2679584775086506, 0.0271280276816609, -0.13016532103037293, 0.0629911572472126, -0.22145328719723184, 0.08421376393694734, -0.041584006151480196, -0.1929104190695886, 0.05173394848135333, 0.08421376393694734, 0.09356401384083046, 0.024605920799692427, -0.09356401384083046, -0.21413302575932336, -0.186082276047674, 0.186082276047674, 0.17937716262975778, 0.041584006151480196, 0.11909265667051133, 0.044844290657439445, -0.01574778931180315, -0.11374086889657825, 0.0629911572472126, 0.13016532103037293, 0.15378700499807765, 0.07972318339100345, 0.008858131487889272, 0.10340638216070744, -0.07972318339100345, -0.05536332179930796, -0.041584006151480196, -0.017777777777777778, -0.05536332179930796, 0.16633602460592078, -0.17937716262975778, -0.39369473279507883, -0.08421376393694734, 0.08882737408688965, -0.10340638216070744, -0.11909265667051133, -0.12456747404844293, 0.002214532871972318, -0.09842368319876971, 0.003936947327950788, 0.14173010380622836, -0.14769703960015382, 0.07535563244905807, 0.14769703960015382, 0.002214532871972318, -0.16000000000000003, 0.11909265667051133, -0.05911572472126105, 0.004982698961937716, 0.19986159169550174, -0.19986159169550174, 0.11374086889657825, -0.006151480199923107, 0.044844290657439445, -0.14173010380622836, 0.1085121107266436, 0.017777777777777778, -0.08421376393694734, 0.029773164167627833]
GB_GCA_018608095.1	SAMN14593179	54.4 N 8.2 E	54.4 N 8.2 E	2010-05	PRJNA283041	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Amylibacter	s__Amylibacter sp000153745	2010-05	Germany: North Sea		10 sea water samples from phytoplankton spring bloom collected during Heincke cruise HE327		temperate shelf and sea biome | surface | sea water	[depth] 2-12m --- [derived-from] This BioSample is a metagenomic assembly obtained from the marine metagenome BioSamples: BioSamples: SAMN03460209, SAMN03460210, SAMN03460211, SAMN03460212, SAMN03460213, SAMN03460214, SAMN03460215, SAMN03460216, SAMN03460217, and SAMN03460218 --- [environmental-sample] 1 --- [isolate] HE327_NSB053 --- [metagenome-source] marine metagenome --- [metagenomic] 1 --- [sample-type] metagenomic assembly	[-0.05911572472126105, -0.11374086889657825, -0.19986159169550174, -0.16633602460592078, -0.0271280276816609, -0.022206843521722412, 0.08421376393694734, 0.15378700499807765, 0.09356401384083046, 0.07972318339100345, 0.10340638216070744, -0.11374086889657825, 0.007443291041906958, -0.17279507881584008, 0.05173394848135333, -0.003014225297962322, 0.04822760476739715, -0.08882737408688965, 0.024605920799692427, 0.05536332179930796, 0.07111111111111111, 0.22145328719723184, -0.08882737408688965, 0.1929104190695886, -0.16000000000000003, -0.16000000000000003, 0.04822760476739715, -0.24415224913494812, 0.16000000000000003, -0.17279507881584008, -0.11374086889657825, 0.3278123798539023, 0.11909265667051133, -0.07972318339100345, -0.05911572472126105, 0.017777777777777778, 0.041584006151480196, 0.010396001537870049, -0.03543252595155709, 0.07535563244905807, -0.09356401384083046, -0.186082276047674, 0.14769703960015382, 0.003936947327950788, -0.03254133025759323, 0.17937716262975778, -0.16000000000000003, 0.03844675124951941, -0.1085121107266436, -0.07111111111111111, 0.05173394848135333, 0.07535563244905807, -0.17937716262975778, -0.08421376393694734, 0.01574778931180315, -0.06698961937716265, -0.044844290657439445, 0.16000000000000003, -0.03844675124951941, 0.003014225297962322, -0.004982698961937716, -0.2679584775086506, -0.007443291041906958, 0.28444444444444444]
RS_GCF_013115725.1	SAMN14833376	55.002715 N 1.592368 W	55.002715 N 1.592368 W	2015-11	PRJNA224116	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa	2015-11	United Kingdom: Newcastle	Homo sapiens	bronchoalveolar lavage			[Time of treatment] I YEAR pre Tx --- [isol_growth_condt] 37 --- [ref_biomaterial] Bronchoalveolar lavage	[0.022206843521722412, -0.1929104190695886, -0.008858131487889272, -0.07111111111111111, 0.07535563244905807, -0.2761399461745483, 0.09842368319876971, -0.07535563244905807, -0.14173010380622836, 0.0271280276816609, 0.07535563244905807, 0.10340638216070744, 0.041584006151480196, -0.09356401384083046, -0.24415224913494812, -0.14173010380622836, 0.21413302575932336, 0.16000000000000003, 0.07111111111111111, 0.07972318339100345, 0.022206843521722412, 0.012056901191849288, -0.09842368319876971, 0.14173010380622836, 0.07535563244905807, 0.14769703960015382, 0.13016532103037293, 0.007443291041906958, 0.019930795847750864, -0.08882737408688965, -0.07111111111111111, 0.06698961937716265, 0.01574778931180315, -0.029773164167627833, 0.2288965782391388, -0.16000000000000003, -0.29287197231833906, 0.0271280276816609, 0.05173394848135333, -0.05911572472126105, -0.09356401384083046, -0.16633602460592078, 0.0015378700499807767, -0.07111111111111111, 0.05536332179930796, 0.15378700499807765, -0.14769703960015382, 0.004982698961937716, 0.186082276047674, -0.044844290657439445, -0.2288965782391388, 0.15378700499807765, -0.06698961937716265, -0.024605920799692427, 0.21413302575932336, -0.29287197231833906, 0.10340638216070744, -0.03543252595155709, 0.029773164167627833, -0.13016532103037293, 0.07972318339100345, 0.044844290657439445, -0.08882737408688965, 0.029773164167627833]
RS_GCF_015538275.1	SAMN14911837	23.550 S 46.633 W	23.550 S 46.633 W	2017	PRJNA224116	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter baumannii	2017	Brazil: Sao Paulo	Homo sapiens	blood			[collected_by] Instituto Adolfo Lutz --- [host_disease_harmonized] bloodstream infection	[0.1085121107266436, -0.1929104190695886, -0.041584006151480196, -0.13588619761630144, -0.07111111111111111, -0.24415224913494812, 0.05173394848135333, -0.024605920799692427, -0.07972318339100345, 0.09842368319876971, 0.044844290657439445, -0.008858131487889272, -0.1085121107266436, -0.05911572472126105, -0.16000000000000003, -0.186082276047674, 0.003936947327950788, 0.05911572472126105, 0.006151480199923107, 0.07111111111111111, 0.07972318339100345, 0.15378700499807765, -0.2761399461745483, 0.07972318339100345, -0.12456747404844293, 0.05173394848135333, -0.17937716262975778, 0.14769703960015382, 0.14173010380622836, -0.09356401384083046, 0.029773164167627833, -0.2288965782391388, -0.010396001537870049, -0.13588619761630144, 0.03543252595155709, -0.05536332179930796, -0.14769703960015382, -0.05173394848135333, -0.003014225297962322, -0.0005536332179930795, -0.39369473279507883, -0.029773164167627833, -0.07535563244905807, 0.15378700499807765, 0.01384083044982699, -0.08421376393694734, -0.17937716262975778, 0.11909265667051133, -0.186082276047674, -0.06698961937716265, 0.08882737408688965, 0.09356401384083046, -0.12456747404844293, 0.17279507881584008, -0.012056901191849288, -0.09356401384083046, 0.03844675124951941, -0.05173394848135333, -0.019930795847750864, -0.03844675124951941, 0.14769703960015382, -0.06698961937716265, -0.17279507881584008, -0.17937716262975778]
GB_GCA_018646025.1	SAMN14913844	48.36 N 123.30 W	48.36 N 123.30 W	2009-06-16	PRJNA630981	d__Bacteria	p__Marinisomatota	c__Marinisomatia	o__Marinisomatales	f__UBA1611	g__JABHGY01	s__JABHGY01 sp018658715	2009-06-16	Canada: Vancouver, Saanich Inlet		hypoxic seawater		marine biome [ENVO:00000447]	[biomaterial_provider] Steven J Hallam --- [depth] 10-200 m --- [derived-from] This BioSample is a metagenomic assembly obtained from the Saanich Inlet SI034_S3 metagenome BioSample: SAMN14850017 --- [envrionmental-sample] 1 --- [identified_by] Heyu Lin --- [isolate] SI034_bin28 --- [metagenome-source] marine metagenome --- [metagenomic] 1 --- [sample_type] metagenomic assembly	[-0.01574778931180315, -0.11374086889657825, -0.2364628988850442, -0.17937716262975778, 0.000984236831987697, 0.03844675124951941, 0.07111111111111111, 0.15378700499807765, 0.13016532103037293, 0.0271280276816609, 0.09356401384083046, -0.09356401384083046, -0.017777777777777778, -0.17937716262975778, 0.08882737408688965, -0.022206843521722412, 0.09842368319876971, -0.07972318339100345, 0.07535563244905807, -0.000984236831987697, 0.07535563244905807, 0.2069357939254133, -0.09842368319876971, 0.2288965782391388, -0.09842368319876971, -0.16000000000000003, 0.019930795847750864, -0.3014225297962323, 0.14173010380622836, -0.17279507881584008, -0.16633602460592078, 0.3188927335640138, 0.11374086889657825, -0.05911572472126105, -0.14173010380622836, -0.05173394848135333, 0.08421376393694734, -0.003014225297962322, 0.0271280276816609, 0.11374086889657825, -0.05536332179930796, -0.16633602460592078, 0.16633602460592078, 0.029773164167627833, 0.01574778931180315, 0.1929104190695886, -0.16000000000000003, 0.03543252595155709, -0.07972318339100345, -0.029773164167627833, 0.008858131487889272, 0.05173394848135333, -0.12456747404844293, -0.008858131487889272, -0.012056901191849288, -0.03543252595155709, -0.07111111111111111, 0.14173010380622836, -0.03254133025759323, -0.03543252595155709, 0.044844290657439445, -0.22145328719723184, 0.012056901191849288, 0.2519646289888504]
GB_GCA_018692675.1	SAMN14914242	48.33 N 123.32 W	48.33 N 123.32 W	2009-09-01	PRJNA630981	d__Bacteria	p__Patescibacteria	c__Microgenomatia	o__UBA1400	f__PJMF01	g__JABBGTR01	s__JABBGTR01 sp018646985	2009-09-01	Canada: Vancouver, Saanich Inlet		hypoxic seawater		marine biome [ENVO:00000447]	[biomaterial_provider] Steven J Hallam --- [depth] 100-200 m --- [derived-from] This BioSample is a metagenomic assembly obtained from the Saanich Inlet SI037_S2 metagenome BioSample: SAMN14850019 --- [envrionmental-sample] 1 --- [identified_by] Heyu Lin --- [isolate] SI037S2_bin28 --- [metagenome-source] marine metagenome --- [metagenomic] 1 --- [sample_type] metagenomic assembly	[-0.01574778931180315, -0.1085121107266436, -0.22145328719723184, -0.17937716262975778, 0.003014225297962322, 0.044844290657439445, 0.07111111111111111, 0.14173010380622836, 0.13016532103037293, 0.03254133025759323, 0.08882737408688965, -0.08421376393694734, -0.017777777777777778, -0.186082276047674, 0.09356401384083046, -0.029773164167627833, 0.10340638216070744, -0.08421376393694734, 0.07535563244905807, -0.012056901191849288, 0.07111111111111111, 0.21413302575932336, -0.10340638216070744, 0.2288965782391388, -0.1085121107266436, -0.15378700499807765, 0.022206843521722412, -0.31009611687812383, 0.14173010380622836, -0.17937716262975778, -0.16000000000000003, 0.3188927335640138, 0.12456747404844293, -0.07111111111111111, -0.14769703960015382, -0.05911572472126105, 0.08421376393694734, 0.000984236831987697, 0.03254133025759323, 0.10340638216070744, -0.05173394848135333, -0.16000000000000003, 0.16000000000000003, 0.03543252595155709, 0.024605920799692427, 0.1929104190695886, -0.16000000000000003, 0.03543252595155709, -0.07535563244905807, -0.024605920799692427, 0.003014225297962322, 0.05173394848135333, -0.13016532103037293, -0.01384083044982699, -0.007443291041906958, -0.041584006151480196, -0.07535563244905807, 0.12456747404844293, -0.029773164167627833, -0.03254133025759323, 0.04822760476739715, -0.22145328719723184, 0.010396001537870049, 0.2519646289888504]
GB_GCA_018693875.1	SAMN14914290	48.33 N 123.32 W	48.33 N 123.32 W	2009-09-01	PRJNA630981	d__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__Peribacterales	f__Peribacteraceae	g__JABGQH01	s__JABGQH01 sp018648865	2009-09-01	Canada: Vancouver, Saanich Inlet		hypoxic seawater		marine biome [ENVO:00000447]	[biomaterial_provider] Steven J Hallam --- [depth] 100-200 m --- [derived-from] This BioSample is a metagenomic assembly obtained from the Saanich Inlet SI037_S2 metagenome BioSample: SAMN14850019 --- [envrionmental-sample] 1 --- [identified_by] Heyu Lin --- [isolate] SI037S2_bin71 --- [metagenome-source] marine metagenome --- [metagenomic] 1 --- [sample_type] metagenomic assembly	[-0.01574778931180315, -0.1085121107266436, -0.22145328719723184, -0.17937716262975778, 0.003014225297962322, 0.044844290657439445, 0.07111111111111111, 0.14173010380622836, 0.13016532103037293, 0.03254133025759323, 0.08882737408688965, -0.08421376393694734, -0.017777777777777778, -0.186082276047674, 0.09356401384083046, -0.029773164167627833, 0.10340638216070744, -0.08421376393694734, 0.07535563244905807, -0.012056901191849288, 0.07111111111111111, 0.21413302575932336, -0.10340638216070744, 0.2288965782391388, -0.1085121107266436, -0.15378700499807765, 0.022206843521722412, -0.31009611687812383, 0.14173010380622836, -0.17937716262975778, -0.16000000000000003, 0.3188927335640138, 0.12456747404844293, -0.07111111111111111, -0.14769703960015382, -0.05911572472126105, 0.08421376393694734, 0.000984236831987697, 0.03254133025759323, 0.10340638216070744, -0.05173394848135333, -0.16000000000000003, 0.16000000000000003, 0.03543252595155709, 0.024605920799692427, 0.1929104190695886, -0.16000000000000003, 0.03543252595155709, -0.07535563244905807, -0.024605920799692427, 0.003014225297962322, 0.05173394848135333, -0.13016532103037293, -0.01384083044982699, -0.007443291041906958, -0.041584006151480196, -0.07535563244905807, 0.12456747404844293, -0.029773164167627833, -0.03254133025759323, 0.04822760476739715, -0.22145328719723184, 0.010396001537870049, 0.2519646289888504]
GB_GCA_018653165.1	SAMN14914656	48.36 N 123.30 W	48.36 N 123.30 W	2010-08-11	PRJNA630981	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__HTCC2089	g__UBA9659	s__UBA9659 sp018665025	2010-08-11	Canada: Vancouver, Saanich Inlet		hypoxic seawater		marine biome [ENVO:00000447]	[biomaterial_provider] Steven J Hallam --- [depth] 10-200 m --- [derived-from] This BioSample is a metagenomic assembly obtained from the Saanich Inlet SI048_S3 metagenome BioSample: SAMN14850024 --- [envrionmental-sample] 1 --- [identified_by] Heyu Lin --- [isolate] SI048_bin112 --- [metagenome-source] marine metagenome --- [metagenomic] 1 --- [sample_type] metagenomic assembly	[-0.01574778931180315, -0.11374086889657825, -0.2364628988850442, -0.17937716262975778, 0.000984236831987697, 0.03844675124951941, 0.07111111111111111, 0.15378700499807765, 0.13016532103037293, 0.0271280276816609, 0.09356401384083046, -0.09356401384083046, -0.017777777777777778, -0.17937716262975778, 0.08882737408688965, -0.022206843521722412, 0.09842368319876971, -0.07972318339100345, 0.07535563244905807, -0.000984236831987697, 0.07535563244905807, 0.2069357939254133, -0.09842368319876971, 0.2288965782391388, -0.09842368319876971, -0.16000000000000003, 0.019930795847750864, -0.3014225297962323, 0.14173010380622836, -0.17279507881584008, -0.16633602460592078, 0.3188927335640138, 0.11374086889657825, -0.05911572472126105, -0.14173010380622836, -0.05173394848135333, 0.08421376393694734, -0.003014225297962322, 0.0271280276816609, 0.11374086889657825, -0.05536332179930796, -0.16633602460592078, 0.16633602460592078, 0.029773164167627833, 0.01574778931180315, 0.1929104190695886, -0.16000000000000003, 0.03543252595155709, -0.07972318339100345, -0.029773164167627833, 0.008858131487889272, 0.05173394848135333, -0.12456747404844293, -0.008858131487889272, -0.012056901191849288, -0.03543252595155709, -0.07111111111111111, 0.14173010380622836, -0.03254133025759323, -0.03543252595155709, 0.044844290657439445, -0.22145328719723184, 0.012056901191849288, 0.2519646289888504]
